tconst	averageRating	numVotes
tt0000001	5.8	1344
tt0000002	6.5	155
tt0000003	6.6	923
tt0000004	6.4	93
tt0000005	6.2	1609
tt0000006	5.7	78
tt0000007	5.5	538
tt0000008	5.6	1428
tt0000009	5.4	60
tt0000010	6.9	4805
tt0000011	5.4	190
tt0000012	7.4	7909
tt0000013	5.7	1219
tt0000014	7.2	3467
tt0000015	6.2	594
tt0000016	5.9	898
tt0000017	4.9	179
tt0000018	5.5	384
tt0000019	6.7	12
tt0000020	5.0	214
tt0000022	5.1	690
tt0000023	5.6	853
tt0000024	5.8	18
tt0000025	5.0	14
tt0000026	5.7	1066
tt0000027	5.6	712
tt0000028	5.2	653
tt0000029	5.9	2290
tt0000030	5.3	550
tt0000031	5.6	638
tt0000032	5.3	269
tt0000033	5.6	676
tt0000034	5.7	90
tt0000035	5.8	42
tt0000036	4.5	390
tt0000037	4.8	31
tt0000038	4.4	115
tt0000039	4.7	10
tt0000040	4.3	27
tt0000041	6.7	1109
tt0000042	4.7	14
tt0000043	4.4	7
tt0000044	4.8	17
tt0000045	4.7	11
tt0000046	4.6	13
tt0000047	3.7	10
tt0000048	5.5	91
tt0000049	6.1	17
tt0000050	4.5	10
tt0000051	4.0	7
tt0000052	4.4	29
tt0000053	2.8	5
tt0000054	5.8	12
tt0000055	4.2	9
tt0000056	3.5	6
tt0000057	4.8	9
tt0000058	4.1	9
tt0000059	3.9	7
tt0000060	8.1	55
tt0000061	4.5	10
tt0000062	6.5	125
tt0000063	3.8	6
tt0000064	3.7	7
tt0000065	4.0	7
tt0000066	4.0	7
tt0000067	6.2	29
tt0000068	4.3	7
tt0000069	4.8	247
tt0000070	6.4	1796
tt0000071	3.9	10
tt0000072	4.5	8
tt0000073	4.2	6
tt0000074	4.5	10
tt0000075	6.4	1084
tt0000076	4.5	356
tt0000077	5.2	11
tt0000078	4.5	30
tt0000079	4.5	11
tt0000080	4.4	8
tt0000081	4.4	8
tt0000082	5.6	17
tt0000083	5.2	11
tt0000084	4.8	8
tt0000085	5.2	11
tt0000086	4.3	9
tt0000087	5.2	12
tt0000088	5.2	9
tt0000089	6.4	632
tt0000090	4.2	8
tt0000091	6.7	1951
tt0000092	5.3	6
tt0000093	5.3	50
tt0000094	4.5	8
tt0000095	5.1	12
tt0000096	5.2	6
tt0000097	5.4	12
tt0000098	6.1	12
tt0000099	5.3	9
tt0000100	5.3	22
tt0000101	5.1	7
tt0000102	5.4	7
tt0000103	6.7	7
tt0000104	5.6	318
tt0000105	6.3	7
tt0000106	5.4	5
tt0000107	6.8	6
tt0000108	4.5	359
tt0000109	4.6	358
tt0000110	4.4	360
tt0000111	4.5	368
tt0000112	4.6	355
tt0000113	4.4	368
tt0000114	6.4	8
tt0000115	6.6	7
tt0000116	6.7	7
tt0000117	5.5	84
tt0000118	6.6	8
tt0000119	6.4	8
tt0000120	6.5	11
tt0000121	4.6	27
tt0000122	6.6	7
tt0000123	6.1	41
tt0000124	6.7	7
tt0000126	6.9	8
tt0000127	5.0	7
tt0000128	6.3	15
tt0000129	7.5	24
tt0000130	6.5	6
tt0000131	5.8	729
tt0000132	5.1	648
tt0000133	7.8	13
tt0000135	7.3	45
tt0000136	6.2	210
tt0000138	6.5	541
tt0000139	6.2	9
tt0000140	5.3	169
tt0000141	5.5	37
tt0000142	5.6	7
tt0000143	5.0	149
tt0000144	5.2	159
tt0000146	6.1	7
tt0000147	5.2	242
tt0000150	5.6	67
tt0000151	5.2	20
tt0000152	6.3	91
tt0000153	5.7	204
tt0000155	5.2	5
tt0000156	4.8	5
tt0000159	5.4	31
tt0000160	5.7	7
tt0000162	5.5	324
tt0000164	5.2	171
tt0000165	5.0	54
tt0000167	4.5	73
tt0000169	4.9	8
tt0000170	5.4	133
tt0000172	6.1	359
tt0000173	5.5	12
tt0000174	5.2	76
tt0000175	5.1	110
tt0000177	4.9	138
tt0000178	6.5	15
tt0000179	5.0	8
tt0000181	7.7	26
tt0000182	5.0	360
tt0000183	6.7	10
tt0000184	4.9	205
tt0000186	4.7	9
tt0000187	5.9	19
tt0000190	5.5	91
tt0000192	4.7	104
tt0000194	5.5	62
tt0000196	5.5	8
tt0000205	6.4	9
tt0000208	5.9	375
tt0000210	5.9	9
tt0000211	7.5	2314
tt0000213	4.7	136
tt0000214	5.2	35
tt0000215	4.6	73
tt0000218	5.9	365
tt0000219	7.4	21
tt0000222	4.6	132
tt0000223	6.4	8
tt0000225	5.5	13
tt0000228	5.0	151
tt0000229	4.7	54
tt0000230	6.5	1006
tt0000234	6.9	25
tt0000235	6.3	359
tt0000239	5.6	131
tt0000240	4.6	38
tt0000242	6.4	588
tt0000245	7.3	15
tt0000246	6.5	747
tt0000247	5.0	330
tt0000248	5.9	970
tt0000251	5.6	53
tt0000253	4.7	7
tt0000256	4.7	109
tt0000261	6.0	29
tt0000264	5.8	256
tt0000265	4.6	79
tt0000269	5.3	79
tt0000272	5.7	506
tt0000273	5.4	361
tt0000274	5.8	135
tt0000276	8.1	7
tt0000277	6.2	38
tt0000283	6.4	11
tt0000284	5.4	127
tt0000286	5.8	127
tt0000287	5.0	108
tt0000288	5.4	117
tt0000292	5.5	43
tt0000296	6.0	168
tt0000299	5.5	121
tt0000300	7.1	823
tt0000301	4.5	213
tt0000302	5.1	89
tt0000304	6.1	759
tt0000306	5.6	129
tt0000307	4.8	51
tt0000308	6.1	21
tt0000309	6.2	559
tt0000310	7.8	12
tt0000313	5.9	529
tt0000319	6.0	63
tt0000321	4.8	141
tt0000328	7.6	5
tt0000335	6.2	32
tt0000337	5.1	268
tt0000340	5.1	180
tt0000341	5.1	238
tt0000346	5.2	138
tt0000347	4.5	66
tt0000349	6.0	68
tt0000350	5.9	478
tt0000352	7.4	9
tt0000353	5.3	228
tt0000355	6.2	439
tt0000357	6.0	233
tt0000358	6.2	456
tt0000359	7.2	1911
tt0000361	8.3	9
tt0000363	6.4	75
tt0000364	5.6	101
tt0000368	7.1	7
tt0000370	5.6	250
tt0000373	6.2	26
tt0000376	7.8	6
tt0000377	6.6	74
tt0000380	7.1	11
tt0000384	5.7	135
tt0000387	5.2	211
tt0000388	5.0	67
tt0000399	6.2	523
tt0000400	6.2	5
tt0000406	5.7	12
tt0000407	3.4	18
tt0000409	5.2	118
tt0000410	6.7	725
tt0000412	4.0	5
tt0000413	5.6	247
tt0000414	5.5	549
tt0000416	5.5	79
tt0000417	8.2	34313
tt0000420	6.3	1966
tt0000423	5.5	134
tt0000430	6.0	501
tt0000432	5.7	127
tt0000436	6.4	364
tt0000437	5.2	131
tt0000439	7.3	13529
tt0000440	5.4	135
tt0000442	4.5	37
tt0000447	6.4	1576
tt0000451	6.7	570
tt0000452	4.7	72
tt0000455	6.9	1400
tt0000456	4.2	29
tt0000459	4.4	38
tt0000464	4.8	278
tt0000465	7.3	823
tt0000469	5.8	702
tt0000471	5.2	318
tt0000472	6.4	7
tt0000479	5.3	270
tt0000480	5.0	118
tt0000487	7.1	289
tt0000488	7.1	546
tt0000491	3.5	31
tt0000492	4.9	49
tt0000495	6.0	68
tt0000496	6.3	27
tt0000497	5.6	17
tt0000498	6.7	818
tt0000499	7.7	2547
tt0000501	4.6	19